target	context	f_tc	f_t	f_c	pmi
avion	romanesque	1.00	1930.00	1.00	1.865164
avion	sous-marin	1.00	1930.00	2.00	1.172017
avion	quitter	1.00	1930.00	1.00	1.865164
avion	entendre	2.00	1930.00	23.00	-0.577183
avion	précieux	1.00	1930.00	1.00	1.865164
avion	attaquer	1.00	1930.00	4.00	0.478870
avion	réel	1.00	1930.00	2.00	1.172017
avion	capable	1.00	1930.00	10.00	-0.437421
avion	aîles	3.00	1930.00	3.00	1.865164
avion	détenir	1.00	1930.00	3.00	0.766552
avion	Hummer	1.00	1930.00	1.00	1.865164
avion	liste	1.00	1930.00	2.00	1.172017
avion	répandre	1.00	1930.00	3.00	0.766552
avion	sinistré	1.00	1930.00	1.00	1.865164
avion	arracher	1.00	1930.00	2.00	1.172017
avion	immatriculation	2.00	1930.00	7.00	0.612401
avion	poche	1.00	1930.00	1.00	1.865164
avion	emménager	1.00	1930.00	2.00	1.172017
avion	détruire	1.00	1930.00	2.00	1.172017
avion	expédition	1.00	1930.00	1.00	1.865164
avion	charriots	1.00	1930.00	2.00	1.172017
avion	laisser	1.00	1930.00	9.00	-0.332061
avion	récupérer	1.00	1930.00	3.00	0.766552
avion	plonger	1.00	1930.00	2.00	1.172017
avion	corps	1.00	1930.00	10.00	-0.437421
avion	viseur	1.00	1930.00	1.00	1.865164
avion	biologique	1.00	1930.00	1.00	1.865164
avion	fabriquer	4.00	1930.00	11.00	0.853563
avion	profil	1.00	1930.00	2.00	1.172017
avion	donnée	1.00	1930.00	3.00	0.766552
avion	appeler	1.00	1930.00	21.00	-1.179358
avion	œil	2.00	1930.00	10.00	0.255726
avion	remarque	1.00	1930.00	1.00	1.865164
avion	séance	1.00	1930.00	1.00	1.865164
avion	problème	1.00	1930.00	9.00	-0.332061
avion	spectaculaire	1.00	1930.00	2.00	1.172017
avion	part	2.00	1930.00	9.00	0.361087
avion	transparent	1.00	1930.00	3.00	0.766552
avion	garer	1.00	1930.00	14.00	-0.773893
